start;end;corpus;sent_id;left;node;right;node_sentences;pref;suff;morphind;root;root_pos;affix;schema;clause_type;subordinate_clause_type;frame;syntactic_transitivity;dobj_syntax;dobj_role;dobj_animacy;dobj_concreteness;recipient_animacy;recipient_pronominality;recipient_syntax;agent_encoded;theme_encoded;recipient_encoded;notes;agent_pronominality;agent_animacy
58;66;ind_newscrawl_2015_300K;55968;Dikatakannya, bantuan yang diterimanya direncanakan untuk;membeli;keperluan menjelang hari raya Galungan.;Dikatakannya, bantuan yang diterimanya direncanakan untuk<m>membeli</m>keperluan menjelang hari raya Galungan.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;subordinate;adverbial;;monotransitive;np;theme;inanimate;concrete;;;NA;TRUE;;;money_encoded;personal-pronoun-suffix;animate
113;121;ind_news_2009_300K;274066;Menurut dia, kondisi ini banyak dimanfaatkan atau mendorong pelaku bisnis yang mengadalkan bahan baku impor akan;membeli;lebih banyak, karena harga dolar lagi murah.;Menurut dia, kondisi ini banyak dimanfaatkan atau mendorong pelaku bisnis yang mengadalkan bahan baku impor akan<m>membeli</m>lebih banyak, karena harga dolar lagi murah.;me-;NA;meN+beli<v>_VSA;beli;v;me-;intransitive;subordinate;adverbial;;intransitive;NA;NA;;;;;NA;TRUE;FALSE;;;np;animate
61;69;ind_newscrawl_2011_1M;499394;Pemerintah akan memberikan subsidi kepada PLN sehingga dapat;membeli;listrik dari pihak swasta sesuai harga dalam kontrak.;Pemerintah akan memberikan subsidi kepada PLN sehingga dapat<m>membeli</m>listrik dari pihak swasta sesuai harga dalam kontrak.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;main;;;monotransitive;np;theme;inanimate;abstract;;;NA;TRUE;;;source/seller_encoded;proper-name;inanimate
38;46;ind-id_web_2013_1M;955183;Uang yang ia terima hanya cukup untuk;membeli;makanan, tidak lebih.;Uang yang ia terima hanya cukup untuk<m>membeli</m>makanan, tidak lebih.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;subordinate;complement_clause;;monotransitive;np;theme;inanimate;concrete;;;NA;TRUE;;;money_encoded;personal-pronoun;animate
41;49;ind-id_web_2013_1M;360951;Jadi sekarang ini anda dapat tahu dimana;membeli;Maspion Panggangan Piknik Hibachi, beserta Barang unggulan lainnya dari Lazada.;Jadi sekarang ini anda dapat tahu dimana<m>membeli</m>Maspion Panggangan Piknik Hibachi, beserta Barang unggulan lainnya dari Lazada.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;subordinate;adverbial;;monotransitive;proper name;theme;inanimate;concrete;;;NA;TRUE;;;source/seller_encoded;personal-pronoun;animate
6;14;ind_newscrawl_2016_1M;748954;"""Saya";membeli;merek Maison Ullens di Paris.;"""Saya<m>membeli</m>merek Maison Ullens di Paris.";me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;main;;;monotransitive;np;theme;inanimate;concrete;;;NA;TRUE;;;source/seller_encoded;personal-pronoun;animate
41;49;ind-id_web_2013_1M;361046;Jadi sekarang ini anda sudah tahu dimana;membeli;Mounte Christ Jam Tangan Pria 11454G-21 – Hitam, beserta Barang terbaru lainnya dari Lazada.;Jadi sekarang ini anda sudah tahu dimana<m>membeli</m>Mounte Christ Jam Tangan Pria 11454G-21 – Hitam, beserta Barang terbaru lainnya dari Lazada.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;subordinate;adverbial;;monotransitive;proper name;theme;inanimate;concrete;;;NA;TRUE;;;source/seller_encoded;personal-pronoun;animate
91;99;ind_newscrawl_2012_1M;601412;SE mengatakan, ia bertemu dengan dua pria tak dikenal yang menepuk pundaknya ketika ia mau;membeli;obat di salah satu apotek RSUP M Djamil Padang.;SE mengatakan, ia bertemu dengan dua pria tak dikenal yang menepuk pundaknya ketika ia mau<m>membeli</m>obat di salah satu apotek RSUP M Djamil Padang.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;subordinate;adverbial;;monotransitive;np;theme;inanimate;concrete;;;NA;TRUE;;;source/seller_encoded;personal-pronoun;animate
175;183;ind_newscrawl_2012_1M;762859;"Apalagi, tambah Rahmat, Indonesia akan mencapai ""investment grade"" pada awal 2012 nanti, yang berarti para investor akan mendapat ""capital gain"" selain bunga atau kupon kalau";membeli;obligasi Indonesia.;"Apalagi, tambah Rahmat, Indonesia akan mencapai ""investment grade"" pada awal 2012 nanti, yang berarti para investor akan mendapat ""capital gain"" selain bunga atau kupon kalau<m>membeli</m>obligasi Indonesia.";me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;subordinate;adverbial;;monotransitive;np;theme;inanimate;abstract;;;NA;TRUE;;;;np;animate
23;31;ind_news_2011_300K;281045;Sebab, masyarakat yang;membeli;pakaian seragam bukan hanya dari warga Kota Bengkulu saja, tapi warga dari luar Bengkulu juga berlanja pakaian seragam di toko miliknya.;Sebab, masyarakat yang<m>membeli</m>pakaian seragam bukan hanya dari warga Kota Bengkulu saja, tapi warga dari luar Bengkulu juga berlanja pakaian seragam di toko miliknya.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;subordinate;relative_clause;;monotransitive;np;theme;inanimate;concrete;;;NA;TRUE;;;;np;animate
69;77;ind_news_2011_300K;94015;Hal itu juga diterapkan kekasih pemain sinetron Dude Herlino, ketika;membeli;pakaian.;Hal itu juga diterapkan kekasih pemain sinetron Dude Herlino, ketika<m>membeli</m>pakaian.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;subordinate;adverbial;;monotransitive;np;theme;inanimate;concrete;;;NA;TRUE;;;;np;animate
23;31;ind_web_2012_1M;858440;Lebih disarankan untuk;membeli;pellets khusus untuk GP karena mengandung Vit C, timothy hay dan komposisi lain yang cocok untuk small animal.;Lebih disarankan untuk<m>membeli</m>pellets khusus untuk GP karena mengandung Vit C, timothy hay dan komposisi lain yang cocok untuk small animal.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;subordinate;complement_clause;;monotransitive;np;theme;inanimate;concrete;inanimate;proper-name;PP_untuk;FALSE;;TRUE;recipient_encoded;;
6;14;ind_newscrawl_2015_300K;176096;Milan;membeli;pemain belakang Philippe Mexes dan Taye Taiwo, serta menambahkan pemain tengah asal Italia Alberto Aquilani dan Antonio Nocerino untuk menggantikan posisi yang ditinggalkan Andrea Pirlo.;Milan<m>membeli</m>pemain belakang Philippe Mexes dan Taye Taiwo, serta menambahkan pemain tengah asal Italia Alberto Aquilani dan Antonio Nocerino untuk menggantikan posisi yang ditinggalkan Andrea Pirlo.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;main;;;monotransitive;np;theme;animate;concrete;;;NA;TRUE;;;;proper-name;inanimate
79;87;ind_news_2012_300K;164260;Hadiah tersebut, kata penyanyi berusia 24 tahun itu, yang akan digunakan untuk;membeli;"peralatan medis, merupakan caranya untuk ""berterima kasih pada Barbados"".";"Hadiah tersebut, kata penyanyi berusia 24 tahun itu, yang akan digunakan untuk<m>membeli</m>peralatan medis, merupakan caranya untuk ""berterima kasih pada Barbados"".";me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;subordinate;complement_clause;;monotransitive;np;theme;inanimate;concrete;;;NA;TRUE;;;;np;animate
83;91;ind_newscrawl_2016_1M;111375;Bupati juga memberikan bantuan berupa uang sebesar Rp3 juta untuk Angga agar dapat;membeli;peralatan sekolah.;Bupati juga memberikan bantuan berupa uang sebesar Rp3 juta untuk Angga agar dapat<m>membeli</m>peralatan sekolah.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;subordinate;adverbial;;monotransitive;np;theme;inanimate;concrete;;;NA;TRUE;;;;proper-name;animate
58;66;ind_news_2012_300K;173544;Raksasa minyak dan gas milik negara China, CNOOC Ltd akan;membeli;perusahaan minyak Kanada Nexen senilai 15,1 miliar dolar AS, kedua perusahaan mengumumkan.;Raksasa minyak dan gas milik negara China, CNOOC Ltd akan<m>membeli</m>perusahaan minyak Kanada Nexen senilai 15,1 miliar dolar AS, kedua perusahaan mengumumkan.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;main;;;monotransitive;np;theme;inanimate;concrete;;;NA;TRUE;;;rate_encoded;np;inanimate
143;151;ind-id_web_2013_1M;542105;Menurut anggota Komisi VII DPR dari Fraksi PAN Alvien Lie, bila ada ketentuan pemerintah harus membayar kewajiban kepada NNT, pemerintah dapat;membeli;perusahaan tersebut dengan diangsur.;Menurut anggota Komisi VII DPR dari Fraksi PAN Alvien Lie, bila ada ketentuan pemerintah harus membayar kewajiban kepada NNT, pemerintah dapat<m>membeli</m>perusahaan tersebut dengan diangsur.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;main;;;monotransitive;np;theme;inanimate;concrete;;;NA;TRUE;;;;np;inanimate
52;60;ind-id_web_2013_1M;820360;Selain membeli Gasa di BandarLampung Anda juga bisa;membeli;produk Abe lainnya dari Agen kami di sini.;Selain membeli Gasa di BandarLampung Anda juga bisa<m>membeli</m>produk Abe lainnya dari Agen kami di sini.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;main;;;monotransitive;np;theme;inanimate;concrete;;;NA;TRUE;;;source/seller_encoded;personal-pronoun;animate
